mp_id,date,source,title,link
312,2026-06-21,اليوم السابع,سقوط طائرة مسيرة قرب منزل رئيس البرلمان العراقى - اليوم السابع,https://news.google.com/rss/articles/CBMiowNBVV95cUxOQnZxWE9hSFhNdlZFeDJtUDd6ZGVKb3RhZjlCQ2lMX3IyTjU4VG44RkFOYUlKZEI1c3ZNNUp5NGx3U3phSmJENEMwQ2ZsQTJ6WFk4OTJUUHBHZ3JrMm9vTE0tZ2dvZ0g1NlFEMGF3Vk0zemZLeXV3WGFhYlhKMmZ2Sm5uR3l2eEtuRVh1Q291cHBVMVBUcXVCSmdGVUwzdDVBaXdjYzdXeXhVdEUzcmx3QWZYT0dwN25kcXY0bHZzeU1ZaGktNTl3eUpFWDdVV3J0a1lBa0JKTXg4Y2F0Sy1XSkllRXBWdGxOUXd0Zm9qVEQ3djJGSTZ2UkpuS29DTjl2dkpfdEYzNGM2bFVZSm00SklmLXhBN0x0M1lUbVlMLWFrbHlkVU9heS12NGxjRmQ3bExlT21hbG9aaGlURE1pSHdUUF9VenZkQnBPdVBjY0pZRnBGc0YzdmRlbmRVUnA1NGxFVGJodnlhWWRrdlNIOFJiajNGcU9KYWY3eWxwYkwwcEE1TUhCSGZPTVBVQmFYckk0RmdudmRIaVZlOS1xamhlUdIBngNBVV95cUxQVEdxcFJaT29BaHdnU2phRWxMWkJMRm4tb2xWVG0xX3czT0RIOXFDRlBBYlpDVEJYNVprOE1Vb29odTNBdlJ2NldmQi02M3NaVU9yTkctSEdpOXFDMTVrbFBId1BKbGZwcFF5U2JSQWNZaTUtWllSN2JIV1NhNUtPWkotNUlCcTNVQTJ2VEhfcHowcFRQbU9zdkRLOFN1bm5ZcWxXQ0p6bXZfUEJraFlERUlxQTctQjVwWUVFdUV4S2JjTTg5TGZsLUowSGJMZmxZN2g2aVJSbm5GeklQYXI5aTJGa2ZEcUFmWG5fYzdNNm1QcF84Wk05bk43TVNRVFEzM0VINnFVX1Q4X1Q2RkNNbEk3Q3lKT3laaU03MUNZSG1RQVVEMmRFSEJGTDdsaDB1c2hvb1R0RjVZZVZpS2FIOUNBZlZmNzJTWkxsWC1hTnZCNTZLWUNtUE5UNnBzdHFoOW4zSVl1Rkhpckw3VWo2b3pyTjM5dGg0QndNREVmZ1lwZ2ZhRURxcTlxMjhwTEd0Q1NEa25EN1BqNGJhX3c?oc=5
312,2026-06-21,الشرق الأوسط,استهداف منزل رئيس البرلمان العراقي في الأنبار بطائرة مسيّرة - الشرق الأوسط,https://news.google.com/rss/articles/CBMiqAVBVV95cUxPSzZ0RFdLbWxmNV9YSmdYRkpQa2FsRnFyZk9yQUFxVndjbENDVmx0RklRMXN3R2QzQVFNUXRNdElqWVJIRUpuLWlSNTFDSGJCMTRrdlZnMHFXZ0ZOVG9SZmVjQS1zSFc4UGd5TnhTNTYzZlo0dGJmLTZ1MXViTWtkOThYaWdHeHVBSTExUXBxRno0LVVCUExGdTZxMXRKR3Y2ZEJva090Y3FRdF9kR1Y3UjZYb25fTUVzRklBYnp3YVNDZ1hWZWdYeUlkQXdJeUg2YkhHVFljUEFkZmt6MWFzX1dwNkw0ZDh0eWd3TkZvY3J4OFUxVHZzU0ZRSWRvNWVtOXlmZkRwLWdQMjJqb0d3ZVhORWw5VEJQSDNUM2FPekZ0SHk3TGZhT2FmbjYtbkZ6WlVHaHVPTjVUNGNoMlV6Ry1FSHBrX1pxMmE4aGUyTzBia2RBbjVLb2NqbDhfQTBiY1R2ZlAzWW1ObnNOS1NMaEZmMzRQYkpMdF9hM0x3VUJCempNN1hPUlZSek9nNW5Ea1JMMmtlZ0tDeng0akhQdmpuZlllWlpKTWlRYThDU1FEeTB2MEpzdVo5dnhPV1VUNnZoTzZfRVdtLWpTaUNjazdDMnl5dXJ6bHpPRVU3ZEFWMjNweFdtZFB4QUVmcDZnMVEtenE0cjcyQWRnRFd2WVlQSlR0bmZrS01EdjAydUFieU94bnNCVW04c3NwekV5NWdpYnkzUWViVzBfZkZfNlJGR2ZoQ3A4SWh0Vm1VYnZuY2h2QnZGR3F2UnZENi1YSXhFeUphYTQ4NWhnRE5mUGNZOUozNlMyMzY5NHI4UzAydzVXakN0b0dZWUJKUWRnZnRHZnpQbmhqdUlrbEtodzQ5QUxfRGowMGtpTG5OMTI4SXZmcHhUMA?oc=5
312,2026-06-20,middle-east-online.com,هل تعرض هيبت الحلبوسي لمحاولة اغتيال؟ - middle-east-online.com,https://news.google.com/rss/articles/CBMi0gJBVV95cUxObGp2U2ttdXRseHl5UFd3cnFFb2dsRGN1dHlqRDJJbEdIU0xBZl9fRHRFeTFWaWx3NFVqc0dQT1FZT2IxVlQyZkhjOHoteUNsVzE2RV80ajUwMEc4N21zUm9IU2dmNXRSVzlFMm52ckFfNUJ0UlJQTlRDNzFzWmVzUk1XY2hPTkY4dnRVX09yb29rbEVzTDVrRFBWM0JQSk44aDJlM2JVcmdyWHlqUnNLSnZLc2FLSHY4YTZyQVV2WkZHWTRfdGxHbWpDaDRRLTNSV2FuaFg2MS1WSkkzQUpLcVpIMDhaSEZ5eEp5b1p0Ukh1bnVjV3J4blFVMFBPWE9yYWluSzM2MGRHNWxvb3QybFhPNWJvQkVsX1E0aFktakRoajVURmVMY3pnYUxKZW9yUnppcF9QbVp1ZmR6RzFQb2txWWl4aVdRaDZQekZLV28zZw?oc=5
312,2026-06-22,جريدة القدس,سقوط مسيرة قرب مضيف هيبت الحلبوسي في الأنبار وتفاعلات سياسية - جريدة القدس,https://news.google.com/rss/articles/CBMiT0FVX3lxTE1wZnBLVk1QMXZGSHdDeEx5aUpSaWdrZUdrS1RubkZ1Q21kRWhBMF9zSlR0WU5TUzRjWE1EdHBweWVDd0ZDbjlTbWt4azFEQWc?oc=5
312,2026-06-21,القدس العربي,العراق: سقوط مسيّرة قرب مضيف الحلبوسي يثير عاصفة غضب - القدس العربي,https://news.google.com/rss/articles/CBMixwJBVV95cUxPUC1TOHJsSE1kQXJGSThYTzJqNGRMSVIxV1JJekxjcVFrdHBZS1ZGak15U3NkZ0VVUzJEdjNwbUotWmxEd2FOd0NDRDVyN3JfQmRZa2Q0SkszZ1RYYXNEc0JTNTdXZHh0R1JxTDBycC0taE5IenI1YmpLMjRfZlVBTXY3NGFsbHNkUnMxN0FaUXlsR0JTZ2pITWhyRkZoYkxhQzFPMUFFOG5ZS1R3RXViVS01NjFnSmJSTE0ySlZtUU43VUlKVWFfbEVkaV94SG13b2JiZkpKVmFaaFlTajRQaUNWeFJSQlNKSjNXQ0ZRaURScDNNRlRBTHVRZnVuV01xa29qUGp6a0dib3BiNjh0UUR2ZXJ6c0xVektURDRSS3dlUkhFTDUySmlmcjg0RjQyelJRN1hlSExKajhlXzFiX3ljc2g3VmM?oc=5
312,2026-06-21,إرم نيوز,"العراق يكشف نتائج التحقيقات الأولية حول ""استهداف"" منزل الحلبوسي - إرم نيوز",https://news.google.com/rss/articles/CBMiXEFVX3lxTE1JSE9FVkY2NmdVRmYxZFd5eTQzYlZzZFB5WC1KMm9vejN4aTdPVkN5eVBvT0tJRmUwMUNJbjVhN1h1Nnh2cThhTXpERV9NOUJOQkd2alZaMzMxVjhZ?oc=5
227,2026-06-21,مجلس النواب العراقي,نائب رئيس مجلس النواب فرهاد أتروشي يدين إستهداف مضيف رئيس مجلس النواب، ويطالب الجهات الأمنية بفتح تحقيق عاجل لكشف المتورطين في الحادث – مجلس النواب العراقي - مجلس النواب العراقي,https://news.google.com/rss/articles/CBMi0AJBVV95cUxNNF9RYkdfZkZFQXAtNDFxUzVibVE3ZTZLZEsyUTg3dWpIejA5N2NFYjlqeXVsV0Q0MTI0S0EwVFB6Mnl4OXlxbWk5QjdMV1JYNFdmdVJYSkthMWxzbmZmaTBUcnU1ZlA2SUJheE03elNLRGJWQU1TNGRiYnRYMi1mRUF2Q0NhU0M2T18zSU1vV3dvb2hkZUZoejZZVnZ6Q3h4WFhzSHNXS25GYUFmalNzaHVxTUtqSGdvM0xqeHpFYlhMbFRNUk5tVHFsbFpCTU9tc2lQSlh3c2tDVUgxc1RwbXMzTmhPUGdOeExXaGM0Zm1sTjRsaVU2cHB6TG9PYW9yU3dkSnhIbERHejNKc1VzLVhsM0Y0YXdqTWE5TmV2azI5ZEVQcFpVOUY5WGQwNko2a3c0NVFxSjVvWFdwdGFtQmhhZVFEMjVaUlU0bUpHYlY?oc=5
227,2026-06-14,rudawarabia.net,الأتروشي بشأن التصويت على رئيس أركان الجيش: لا يترتب عليه أي أثر قانوني وسنلجأ للقضاء - rudawarabia.net,https://news.google.com/rss/articles/CBMiZ0FVX3lxTE90dEtGMGhjYW03Y3B5NFRTdlAxellhY3VrYkpZNGVING1LRUtjZ2l2YzdmUU9PRVY4dFExSVlVN2k1ejc0R1NmZG1ZNi1CUTROeno3U1hIVDZHVm5WNWFHX0xsRjFxVTA?oc=5
227,2026-06-18,مجلس النواب العراقي,نائب رئيس مجلس النواب فرهـاد أتروشـي يعزي عائلة الطفلة الكربلائية (رقية)، ويؤكد أن ماقاموا به أهالي حلبجة و هورامان من عمل إنساني ومراسم تشييع، يجسد اللحمة الوطنية بين أبناء شعبنا – مجلس النواب العراقي - مجلس النواب العراقي,https://news.google.com/rss/articles/CBMizgJBVV95cUxQWHQ1aDRSYUxqLXpPYUxrUWEyRHhDM296T2VNVGhWZy1GaTkwZWRNXzdrLVJqUXE0NkkzaXNiZElaZUQ4cXdGT1p6MVNXNktvXzlyck1EdkU4MXhyQmRONno2aGxhajF3RFZUWk5UUVVQTW5UaElrRmtlM3U2cm1JYkJfSk5NUWp2UjNhTGo4di1wWFJ2bFNLYXNNRWYzVUNvX2dvcTJxUklIdlpKWDBGbEtSVnhpWjdtUUQzY1Y3cDRpNHJmdFNLMm9tQzlZZWtLTUNvYjRIZlE0QzJzcDRfQUM2NG55SGRTOVp0R3hXQ0hQQ1c1dEFzWWlLMmdHaWtIazZLNkdhWXRJTWtBX241emRZQi1NUEJEY2VsSTRZMlV0Q2F4ckVqeFR6dklSSDdNbTJFbzdjX24zZXRmZ1RSQXRDNWx6TmNoc0NfcDN3?oc=5
227,2026-06-05,وكالة الانباء العراقية (واع),الأتروشي يؤكد على ضرورة تعزيز الجهود الوطنية والدولية لحماية البيئة - وكالة الانباء العراقية (واع),https://news.google.com/rss/articles/CBMiUkFVX3lxTE1MN0dhc2hrM3VuVG96cFZmY0drMUhzTE8teGNIQ01mT0hBSHFLRFZldDAtNEZaejRjcWtWTkMxa3o1SVBuOUhGUXlSOTFnMjFWNVE?oc=5
227,2026-06-05,مجلس النواب العراقي,نائب رئيس مجلس النواب فرهـاد أتروشـي في اليوم العالمي للبيئة، يؤكد على ضرورة تعزيز الجهود الوطنية والدولية لحماية البيئة ومواجهة التحديات المناخية – مجلس النواب العراقي - مجلس النواب العراقي,https://news.google.com/rss/articles/CBMizgJBVV95cUxOZEFUdW8yem1LR3Mtamh5aWMwOXVCd3NwdHhQV3BvUXBLVmZOaWZpdWpMdGFZUHhQY1JHYTJrTWJTZkZ3WWs2dHVrNnpBTzdXMlJMY2tpM1oyQjVUWW9OWDJ2dUU2UzVlWU5zWHZVOHRrdFdQS2MxMmFWUXVVMGdFUkhkSEhwOUttajUzVDZrUUFCeHRFZ3BzREpNaU5UYUhHbWRWU0QzbzNiWnBXRko4cFNTcGJoMmtsTEdvd1FPTDcxenJsa2N2cGRVdGVHVzFVMXN1Q3JENWFHQmRyd0U1eWtPeWR4MTh4SEFvdEhTN3U1X1gtaXI1Q1dwN25HenhrNTB5SU00WXVRbGRISE0ta1RVT0IyUDRKRG9OQ2JYWVJwRFZTZmNJVlBoRWZZTk9MeE00TDd0NmpUMW9mQmVCMnNIRHE1bG9RRS1QbGRn?oc=5
227,2026-06-08,مجلس النواب العراقي,نائب رئيس مجلس النواب فرهــاد أتروشـي، يعزي بوفـاة الإعلامي هلكوت عزيــز - مجلس النواب العراقي,https://news.google.com/rss/articles/CBMizAJBVV95cUxNa2ZvR0ZGVkRBSUVCSEVFeXRpRWR5OUNneXR2WW5Ga3NkcWNxYzV3d29UYkp3YzBFZ2dfMmtaSmU5WWxoWFFiZWFpOFBpYkhOUFFocmxoc0tOWXhlVVo4bmpHV1dpVS14dVQ5OEFFRmlSNHZFYlZ6TGVyUzFTTC0xd3hvbF9CM3dtb19vWFdpdFhYX3d1Slk0LU9YaktmUzJMbVJSSWFpOWNHcHVHb01JUm5JdmpsamdUUlI5S1ZMTnNJME1FM2FNS2luLWtCbEVISUZ2WHU1VUs0Q19hNjBNNDF1QzltSDNMNDJmYUN3QmZ2V002dEU3TDN6cUpDYlI0ODhlSkVqdWh0aEJoNF8zb0ZhQ0ZnU2FzNnA3aFVhV3FPMkIwRFJwLTI2RTduNmZxN0FBYlRQMWJhWnNIQWRrdmUwdEJlUS04WmRXSQ?oc=5
185,2026-06-08,rudawarabia.net,حياة عدنان الدليمي في سطور - rudawarabia.net,https://news.google.com/rss/articles/CBMicEFVX3lxTE8yS2FVQlM2bHhMUlpTbENuZE9HLWE3bnVlVW5udWhGNE5tNldDUUVWU3VEVTg4dGlWTUVFYVZhX2ZwdjhZNGZfUXlQZjNyZ2ZtenJjcU5TZmdFLVVPNVBPRlczR0tsZmV0aERibUUtTWU?oc=5
185,2017-05-03,الجزيرة نت,من عدنان الدليمي؟ - الجزيرة نت,https://news.google.com/rss/articles/CBMizwFBVV95cUxNa3NPQnoxZVNsSzU2V1laSXcyWU5LY1dUUTNCUzEyQTlBSjZnbHZoRXp0WE5Qc2g0ejZkZndMdHlITTNsNnhhOGFkd3lYT3hVSzFoTWdWTVpmUHVkQnZFVDY0ZlQwd245SDg5MGNxZDVFVmpyc3FfdXcxcndtZEVKczkwRS1BVjYzeVc2X1pNTjB4X181bkEtTTZEYVpSNTlZM2NBOENpYmZkb3diUHlWYTAxT0FYazRscUVjeU9oWlluSjFRWTNnMWZVRGFYU0XSAdQBQVVfeXFMTkR2ZDQyQ2ZmeXBTSGlHbEszWmNQeTRCQ3ItcWxlZFEyNzA3bVI4NGtnZ3pycUJsUlNIcko1ajBROVlaOElBSzZXRUo5MldVN1JWSVlSYjZXREVjQ1EwV0REQnVsUzlPQXNkdnBOLUE4OG1fNUV6a3dGVGQxOXNfVkRRSFNIeEVNU0YtWVB4MERoWDBGa1ZrYWNWTnhqV09JeU9EX3pQTS11cFBYS1JYOFVIeUVOSnZDa0tJLXNuWnpjZEZ2a0F3a0VBOFFybC1sWnRzUkI?oc=5
185,2017-05-03,العربية,وفاة السياسي عدنان الدليمي في أربيل - العربية,https://news.google.com/rss/articles/CBMi3wJBVV95cUxNay1VT0lxQUh6SkU3RHY2THpPRDdOa2s3MWVEdWgtQ3FEdlViU2pUOGpfVnRwZV9PTjliQjBWWUJPMkNYTUVvOEZPd1BTMXU1bFhaUnlxX09pRjhHVm1pRTkteVVaUTVwckplTWRieDF4VTlvbjhwbGRrZ2I5SDVwaGRYLUp6b3dYeVZmdmtEOF8tUDBTOFN3RmE5VVRQYnlkckxWWHpGMGg5bUJBNzVuUl9PNXdkZFcxRFZmWnF5N3RQRGI2bWtpQXZTQUduODN4d3ZnYlRXMlVZTVZaTjJZekRhQUp4WWdVUUFjajU1cE5zNlhQcTFIZ2J4cWhDWkhHQURXM0hpVG1SYVBDX29GVEdMOGQzRWdqZlp1eWpFeklQeXJycGktczhnU0xKZkRCeE02XzN4S2dnblk1OE5SY05obW9QN05Ia0trazdBWTBGYWVrSGxDTldlcjZ4REnSAeQCQVVfeXFMT1dzZE01SUp6LWM0WHZwWHdrZHZPd1FBVy1ac1o4d0FuU0p2bVN4R3lDMWJCVHJZeEdwTVhJTi1sb05HYkRON01uazBsdVJPMXJ1eWlvSDdvblJ6bUxDeDVUUzdUdy1feWM5a3RtNUxCZUFSTlVMMi1oRHpQbTN3a3hpWVl2WDNuZXV4ZUR5U05TY2JkbHJQLWtwaUx2VmtVVGdRRVF1SVc4U0ZxLTJId1hpbEFzMjlEcG9kWUVZQW1NYUU0WGlwTGNmeFZLeS1VWGl6Q0s5ai1DcGFRdUlaR3o5dkZSVi1pcjctQU9lRjFBb0s2Yl96LXlLbUttY1BWWjNadW5TWTdlaVdGQmNrWXZPVGhWRlgzYmRLRGlybHJqbU5pQ0FVWEtIMEh5aUVnT2RWTFNIcUw2RnlwUkNoa0Joekg2cU90MXBUYlFqNkZWZnN1blpJT3pjOHdXSV9ZZXhfQ0I?oc=5
185,2017-05-03,موقع 24,وفاة عدنان الدليمي في أربيل - موقع 24,https://news.google.com/rss/articles/CBMiQ0FVX3lxTFA2NEI2RTRqQ0ttSlI4aTlNSW5VeDFaZ09GdUMzUnRSd21lamdvU2RDdVZQbmM0LVNQMnl6TWxhWUVvblk?oc=5
185,2014-05-18,CNBC عربية,الدليمي: السوق الكويتي يترقب البيانات المالية للشركات - CNBC عربية,https://news.google.com/rss/articles/CBMizwNBVV95cUxPWFRYdFpyVVRab25FcEtETkN5MnhheUxLWTJDcjJXZDg5Q20yb0tuNHRucllkd3RmVEU0M1B5b2Q2bFBBbHBNUW9ZaVdoWVEtY3I3RjFTUDlMaTZNbTNtOHRqYmRqVVRMRGU2LXF1VmdhSnBiQUtUUUVnU0tSR1lNclhUQ1dLRHhYU0FoUExkMmRxdDJrY25wbVpkRjkxYXlWbGk1QzlSWExhSEUycU5OSTVNSXRTeW5kRy1LOG5RSFhKWDdOS19kaWVtZTE5UHZndnFxa1FxcnNIUnVBcHpHc0g2UWg4Q0QxZDRHNG5ZeFVBaThCUFkwTmJYWEpMX2VudmRubDIya3BRRENPR0FZWTRnLTloN0RfZmZHMTY5TFNDa3Y5SDk2Sng5dnNiN1VFc2VkOGxtS0lCcHN0bEs5RzJQZ1FVODMzX1NYcTB2SVdNVjJqYkZzZ2JIMDBDWjhmdU9tTkdrQlFhMEtDMXptQTY1SnJKeXBnRWdaTWo5LXE1MElob0lVYmN6UGZsOGFiUFpjOWMtT1B3V1g4UFNOLW0zaEFoQksyYlVRaTNkX0YwVXBDeWE2T3RMVURMUVRoQWNGNXdFYWdxTjZtZG5N?oc=5
